run_id,case_id,case_title,bucket,mode,baseline_score,final_score,delta,iterations,tokens,latency_ms,baseline_proxy_auroc,final_proxy_auroc,baseline_proxy_brier,final_proxy_brier,baseline_proxy_ece,final_proxy_ece,baseline_proxy_f1,final_proxy_f1,baseline_proxy_conf_std,final_proxy_conf_std,baseline_proxy_judge_consistency,final_proxy_judge_consistency,baseline_proxy_overconfidence,final_proxy_overconfidence,baseline_proxy_agreement,final_proxy_agreement
ee912aa9cde34f9486b8ea6184f63ff1,cp-01,Подготовка датасета,constraint_planning,benchmark,0.8333,0.8333,0.0,1,3423,17197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1d19e368113c49bfb181804f6026f5ac,cp-02,Учебный график,constraint_planning,benchmark,0.95,0.8,-0.15,1,3856,17194,0.0,0.0,0.7188,1.0,0.8125,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.625,1.0,0.375,0.375
3ce48e2a528a420d847b36a313517dba,cp-03,Мастер-класс,constraint_planning,benchmark,0.7667,0.7833,0.0167,1,4168,18731,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
9f13ea2c752d4e7fbd1f37550bf522e8,cp-04,Онбординг стажёра,constraint_planning,benchmark,1.0,0.9,-0.1,1,3534,15041,0.0,0.0,1.0,0.7188,1.0,0.8125,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,0.375,0.375
fe3af4a59a094cf197c54ea3abf87cb4,cp-05,Релиз учебного сервиса,constraint_planning,benchmark,0.8333,0.8833,0.05,2,7304,34085,0.0,0.0,1.0,0.8125,1.0,0.875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.375
7f919caf135c47278657863ae11856fe,cp-06,Полевая экспедиция,constraint_planning,benchmark,0.7667,0.8833,0.1167,1,3251,15352,0.0,0.0,0.81,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.125
067a691bf83540a5bc62a4548de9ee1f,cp-07,Хакатон,constraint_planning,benchmark,0.7667,0.8833,0.1167,1,3770,16110,0.0,0.0,1.0,0.5312,1.0,0.6875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.375,0.0,0.0
8206b3acae4f4356b62600c5409edce9,cp-08,Интервью пользователей,constraint_planning,benchmark,0.7667,0.6667,-0.1,1,3545,17505,0.0,0.0,1.0,0.74,1.0,0.85,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.875,0.0,0.125
954952b1b0f14609a55605c987397402,cp-09,Лабораторный день,constraint_planning,benchmark,0.8833,0.8833,0.0,1,3290,16278,0.5,0.0,0.875,0.8125,0.875,0.875,0.2222,0.0,0.0,0.0,1.0,1.0,0.875,0.75,0.125,0.375
1377f5f706f545138def22cc9be8712d,cp-10,Переезд команды,constraint_planning,benchmark,1.0,0.9,-0.1,1,3712,17813,0.0,0.0,0.7857,1.0,0.8857,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
5c0f2c975d0941f6b05e283140d5ca18,cp-11,Научный семинар,constraint_planning,benchmark,0.7667,0.6667,-0.1,1,3538,15969,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
21a97cf4471949db8b94d54dc238dc2a,cp-12,Кампания по опросу студентов,constraint_planning,benchmark,0.7167,0.6167,-0.1,1,3916,17194,0.0,0.0,0.9062,1.0,0.9375,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.25,0.0
66ff570891b84b658acf8b344cf140fb,cp-13,Мини-исследование,constraint_planning,benchmark,0.7167,0.7167,0.0,1,3999,17503,0.0,0.0,0.81,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
438a91c830b347b0ac6d466873869a46,cp-14,Резервное копирование,constraint_planning,benchmark,0.6667,0.8333,0.1667,2,8641,37114,0.0,0.0,1.0,0.7888,1.0,0.8875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
44514f58f1cb42d6ad604458810b0778,cp-15,Запуск Telegram-бота,constraint_planning,benchmark,0.6667,0.95,0.2833,1,3483,16515,0.0,0.0,1.0,0.74,1.0,0.85,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.875,0.0,0.125
